"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"3/14/2024","3/14/2024","3/14/2024","LMFA","LM Funding America, Inc.
CUSIP: 502074503","SPR","1","",""
"3/13/2024","3/13/2024","3/13/2024","HPCO","Hempacco
CUSIP: 42371L205","SPR","0.1","",""
"3/13/2024","3/13/2024","3/13/2024","HPCO","Hempacco
CUSIP: 42371L106","SPR","1S","",""
"3/12/2024","3/13/2024","3/14/2024","INPX","Inpixon
CUSIP: 45790J867","SPR","1S","",""
"3/12/2024","3/12/2024","3/14/2024","INPX","Inpixon
CUSIP: 45790J867","Buy","1","$0.07","($0.07)"
"3/12/2024","3/12/2024","3/12/2024","CISO","CISO Global
CUSIP: 15672X201","SPR","1","",""
"3/11/2024","3/12/2024","3/13/2024","LMFA","LM Funding
CUSIP: 502074404","SPR","1S","",""
"3/11/2024","3/11/2024","3/13/2024","CJJD","China Jo-Jo Drugstores
CUSIP: G2124G120","Sell","1","$2.96","$2.96"
"3/11/2024","3/11/2024","3/13/2024","ZCMD","Zhongchao
CUSIP: G9897X115","Sell","1","$1.82","$1.82"
"3/11/2024","3/11/2024","3/13/2024","HPCO","Hempacco
CUSIP: 42371L106","Buy","1","$0.21","($0.21)"
"3/11/2024","3/11/2024","3/13/2024","LMFA","LM Funding
CUSIP: 502074404","Buy","1","$0.52","($0.52)"
"3/8/2024","3/8/2024","3/12/2024","RETO","ReTo Eco-Solutions
CUSIP: G75271125","Sell","1","$2.34","$2.34"
"3/8/2024","3/8/2024","3/12/2024","IFBD","Infobird
CUSIP: G47724300","Sell","1","$6.01","$6.01"
"3/7/2024","3/8/2024","3/11/2024","GXAI","Gaxos.ai Inc.
CUSIP: 62911P201","SPR","1S","",""
"3/7/2024","3/8/2024","3/11/2024","CISO","CISO Global
CUSIP: 15672X102","SPR","1S","",""
"3/7/2024","3/7/2024","3/11/2024","GXAI","Gaxos.ai Inc.
CUSIP: 62911P201","Buy","1","$0.50","($0.50)"
"3/7/2024","3/7/2024","3/11/2024","CISO","CISO Global
CUSIP: 15672X102","Buy","1","$0.10","($0.10)"
"3/6/2024","3/6/2024","3/6/2024","IFBD","Infobird
CUSIP: G47724300","SPR","1","",""
