Instrument,Activity Date,Trans Code,Quantity,Price
HLBZ,3/30/2023,Buy,1.0,0.12
CUEN,3/28/2023,Sell,0.076923,5.38
CREX,3/28/2023,Sell,0.333333,1.98
ALLR,3/28/2023,Sell,1.0,2.35
PTIX,3/27/2023,Sell,1.0,1.68
BAOS,3/27/2023,Sell,1.0,3.22
LKCO,3/24/2023,Sell,1.0,1.9
VIA,3/24/2023,Sell,1.0,16.5
CREX,3/24/2023,Buy,1.0,0.65
ALLR,3/24/2023,Buy,1.0,0.08
CUEN,3/23/2023,Buy,1.0,0.42
PTIX,3/22/2023,Buy,1.0,0.43
VIA,3/21/2023,Buy,1.0,5.39
BAOS,3/21/2023,Buy,1.0,0.73
LKCO,3/21/2023,Buy,1.0,0.11
KRBP,3/15/2023,Sell,1.0,4.26
KRBP,3/10/2023,Buy,1.0,0.15
CPHI,3/8/2023,Sell,1.0,0.59
HCDIQ,3/8/2023,Sell,1.0,7.2
IONM,3/8/2023,Sell,1.0,5.76
CPHI,3/3/2023,Buy,1.0,0.06
CPHI,3/3/2023,Buy,1.0,0.06
HCDI,3/3/2023,Buy,1.0,0.45
IONM,3/3/2023,Buy,1.0,0.25
